origin_city,origin_country,origin_station,destination_city,destination_country,destination_station,operator_name,duration,trip_count,frequency_bucket,transport_type,frequency_daily,frequency_label
Paris (Bercy Seine),FR,Paris (Bercy Seine),Grenoble (Central ),FR,Grenoble (Central Bus Station),FlixBus/EU,08:35,27.0,High,,,
Le Mans,FR,Le Mans,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,03:05,6.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Le Mans,FR,Le Mans,FlixBus/EU,02:45,6.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Nantes (Haluchère),FR,Nantes (Haluchère),FlixBus/EU,05:45,29.0,High,,,
Nantes (Haluchère),FR,Nantes (Haluchère),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,05:35,29.0,High,,,
Lyon (Perrache ),FR,Lyon (Perrache Bus Station),Lausanne (P+R Vélodrome),FR,Lausanne (P+R Vélodrome),FlixBus/EU,03:35,12.0,Low,,,
Lausanne (P+R Vélodrome),FR,Lausanne (P+R Vélodrome),Lyon (Perrache ),FR,Lyon (Perrache Bus Station),FlixBus/EU,03:55,12.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Valence (Central ),FR,Valence (Central Bus Station),FlixBus/EU,08:00,7.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Montélimar (Central ),FR,Montélimar (Central Bus Station),FlixBus/EU,08:50,9.0,Low,,,
Montélimar (Central ),FR,Montélimar (Central Bus Station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,09:00,9.0,Low,,,
Valence (Central ),FR,Valence (Central Bus Station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,08:10,7.0,Low,,,
Nantes (Haluchère),FR,Nantes (Haluchère),Barcelona ( Nord),ES,Barcelona (Bus Terminal Nord),FlixBus/EU,14:05,6.0,Low,,,
Barcelona ( Nord),ES,Barcelona (Bus Terminal Nord),Nantes (Haluchère),FR,Nantes (Haluchère),FlixBus/EU,14:20,6.0,Low,,,
Annecy (Central ),FR,Annecy (Central Bus Station),Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),FlixBus/EU,04:05,21.0,Average,,,
Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),Annecy (Central ),FR,Annecy (Central Bus Station),FlixBus/EU,04:10,21.0,Average,,,
Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),Paris (Pershing - Porte Maillot),FR,Paris (Pershing - Porte Maillot),FlixBus/EU,06:50,3.0,Very Low,,,
Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,06:45,6.0,Low,,,
Paris (Pershing - Porte Maillot),FR,Paris (Pershing - Porte Maillot),Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),FlixBus/EU,06:55,3.0,Very Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),FlixBus/EU,06:50,6.0,Low,,,
Montpellier (Sabines),FR,Montpellier (Sabines),Toulon (Central ),FR,Toulon (Central Bus Station),FlixBus/EU,04:05,12.0,Low,,,
Toulon (Central ),FR,Toulon (Central Bus Station),Montpellier (Sabines),FR,Montpellier (Sabines),FlixBus/EU,03:55,12.0,Low,,,
Metz (central ),FR,Metz (central bus station),Valence (Central ),FR,Valence (Central Bus Station),FlixBus/EU,08:50,6.0,Low,,,
Valence (Central ),FR,Valence (Central Bus Station),Metz (central ),FR,Metz (central bus station),FlixBus/EU,08:40,6.0,Low,,,
Memmingen,DE,Memmingen central bus station,Munich,DE,Munich central bus station,FlixBus/EU,01:35,15.0,Low,,,
Munich,DE,Munich central bus station,Memmingen,DE,Memmingen central bus station,FlixBus/EU,01:30,15.0,Low,,,
Munich,DE,Munich central bus station,Füssen (Kemptener Straße),DE,Füssen (Kemptener Straße),FlixBus/EU,02:55,17.0,Average,,,
Barcelona ( Nord),ES,Barcelona (Bus Terminal Nord),Bordeaux (Saint-Jean - Paludate),FR,Bordeaux (Saint-Jean - Paludate),FlixBus/EU,09:05,12.0,Low,,,
Füssen (Kemptener Straße),DE,Füssen (Kemptener Straße),Munich,DE,Munich central bus station,FlixBus/EU,02:55,18.0,Average,,,
Bordeaux (Saint-Jean - Paludate),FR,Bordeaux (Saint-Jean - Paludate),Barcelona ( Nord),ES,Barcelona (Bus Terminal Nord),FlixBus/EU,08:55,12.0,Low,,,
Tours (Parking les Peupliers),FR,Tours (Parking les Peupliers),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,03:30,18.0,Average,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Tours (Parking les Peupliers),FR,Tours (Parking les Peupliers),FlixBus/EU,03:30,18.0,Average,,,
Rouen (Avenue Champlain),FR,Rouen (Avenue Champlain),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,02:35,60.0,Very High,,,
Paris (Pont de Sèvres),FR,Paris (Pont de Sèvres),Rouen (Avenue Champlain),FR,Rouen (Avenue Champlain),FlixBus/EU,01:45,12.0,Low,,,
Rouen (Avenue Champlain),FR,Rouen (Avenue Champlain),Paris (Pont de Sèvres),FR,Paris (Pont de Sèvres),FlixBus/EU,01:35,6.0,Low,,,
Paris La Défense ( Jules Verne),FR,Paris La Défense (Terminal Jules Verne),Rouen (Avenue Champlain),FR,Rouen (Avenue Champlain),FlixBus/EU,01:45,27.0,High,,,
Rouen (Avenue Champlain),FR,Rouen (Avenue Champlain),Paris La Défense ( Jules Verne),FR,Paris La Défense (Terminal Jules Verne),FlixBus/EU,01:35,10.0,Low,,,
Milan (Lampugnano ),FR,Milan (Lampugnano bus station),Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),FlixBus/EU,09:05,14.0,Low,,,
Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),Milan (Lampugnano ),FR,Milan (Lampugnano bus station),FlixBus/EU,08:50,14.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Reims - Champagne Ardenne TGV,FR,Reims - Champagne Ardenne TGV,FlixBus/EU,01:50,52.0,Very High,,,
Reims - Champagne Ardenne TGV,FR,Reims - Champagne Ardenne TGV,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,01:50,56.0,Very High,,,
Epinal (),FR,Epinal (Bus Station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,06:50,9.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Epinal (),FR,Epinal (Bus Station),FlixBus/EU,06:40,9.0,Low,,,
Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),Turin (Vittorio Emanuele),FR,Turin (Vittorio Emanuele),FlixBus/EU,09:30,22.0,Average,,,
Turin (Vittorio Emanuele),FR,Turin (Vittorio Emanuele),Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),FlixBus/EU,09:30,21.0,Average,,,
Vienna Erdberg (Busterminal VIB),AT,Vienna Erdberg (Busterminal VIB),Hanover,DE,Hanover central bus station,FlixBus/EU,12:25,6.0,Low,,,
Leipzig central train,DE,Leipzig central train station,Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),FlixBus/EU,03:40,6.0,Low,,,
Hanover,DE,Hanover central bus station,Vienna Erdberg (Busterminal VIB),AT,Vienna Erdberg (Busterminal VIB),FlixBus/EU,12:30,6.0,Low,,,
Lyon Saint-Exupéry Airport,FR,Lyon Saint-Exupéry Airport,Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),FlixBus/EU,03:05,18.0,Average,,,
Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),Lyon Saint-Exupéry Airport,FR,Lyon Saint-Exupéry Airport,FlixBus/EU,03:10,18.0,Average,,,
Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),Leipzig central train,DE,Leipzig central train station,FlixBus/EU,03:45,6.0,Low,,,
Grenoble (Central ),FR,Grenoble (Central Bus Station),Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),FlixBus/EU,03:45,40.0,Very High,,,
Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),Grenoble (Central ),FR,Grenoble (Central Bus Station),FlixBus/EU,03:50,39.0,Very High,,,
Marseille (Saint-Charles),FR,Marseille (Saint-Charles),Lille,FR,Lille,FlixBus/EU,13:30,6.0,Low,,,
Lille,FR,Lille,Marseille (Saint-Charles),FR,Marseille (Saint-Charles),FlixBus/EU,14:25,6.0,Low,,,
Grenoble (Central ),FR,Grenoble (Central Bus Station),Lausanne (P+R Vélodrome),FR,Lausanne (P+R Vélodrome),FlixBus/EU,04:20,30.0,High,,,
Lausanne (P+R Vélodrome),FR,Lausanne (P+R Vélodrome),Grenoble (Central ),FR,Grenoble (Central Bus Station),FlixBus/EU,04:20,30.0,High,,,
Metz (central ),FR,Metz (central bus station),Rennes (Central ),FR,Rennes (Central bus station),FlixBus/EU,09:05,6.0,Low,,,
Rennes (Central ),FR,Rennes (Central bus station),Metz (central ),FR,Metz (central bus station),FlixBus/EU,09:00,6.0,Low,,,
Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),Toulon (Central ),FR,Toulon (Central Bus Station),FlixBus/EU,08:40,6.0,Low,,,
Toulon (Central ),FR,Toulon (Central Bus Station),Clermont-Ferrand (),FR,Clermont-Ferrand (Bus Station),FlixBus/EU,08:45,6.0,Low,,,
London Victoria Coach,GB,London Victoria Coach Station,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,10:00,76.0,Very High,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),London Victoria Coach,GB,London Victoria Coach Station,FlixBus/EU,08:40,84.0,Very High,,,
Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),Göhren (Rügen),DE,Göhren (Rügen),FlixBus/EU,10:30,17.0,Average,,,
Göhren (Rügen),DE,Göhren (Rügen),Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),FlixBus/EU,10:50,16.0,Average,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Brest,FR,Brest,FlixBus/EU,08:15,6.0,Low,,,
Brest,FR,Brest,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,08:15,6.0,Low,,,
Lorient (central ),FR,Lorient (central bus station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,08:30,6.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Lorient (central ),FR,Lorient (central bus station),FlixBus/EU,08:20,11.0,Low,,,
Toulouse (Central Pierre Sémard),ES,Toulouse (Central Bus Station Pierre Sémard),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,09:10,27.0,High,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Toulouse (Central Pierre Sémard),ES,Toulouse (Central Bus Station Pierre Sémard),FlixBus/EU,09:25,26.0,High,,,
Orléans South (Les Aulnaies),FR,Orléans South (Les Aulnaies),Amiens (Les Hortillonnages),FR,Amiens (Les Hortillonnages),FlixBus/EU,06:50,6.0,Low,,,
Amiens (Les Hortillonnages),FR,Amiens (Les Hortillonnages),Orléans South (Les Aulnaies),FR,Orléans South (Les Aulnaies),FlixBus/EU,06:50,6.0,Low,,,
Orléans South (Les Aulnaies),FR,Orléans South (Les Aulnaies),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,02:20,12.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Orléans South (Les Aulnaies),FR,Orléans South (Les Aulnaies),FlixBus/EU,02:00,12.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Chambéry (Central ),FR,Chambéry (Central Bus Station),FlixBus/EU,07:40,7.0,Low,,,
Chambéry (Central ),FR,Chambéry (Central Bus Station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,07:45,7.0,Low,,,
Brest,FR,Brest,Nantes (Haluchère),FR,Nantes (Haluchère),FlixBus/EU,04:05,5.0,Very Low,,,
Nantes (Haluchère),FR,Nantes (Haluchère),Brest,FR,Brest,FlixBus/EU,04:05,5.0,Very Low,,,
Angers (central ),FR,Angers (central bus station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,03:50,39.0,Very High,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Angers (central ),FR,Angers (central bus station),FlixBus/EU,04:10,39.0,Very High,,,
Toulouse (Central Pierre Sémard),ES,Toulouse (Central Bus Station Pierre Sémard),Saint-Étienne,FR,Saint-Étienne,FlixBus/EU,09:05,6.0,Low,,,
Saint-Étienne,FR,Saint-Étienne,Toulouse (Central Pierre Sémard),ES,Toulouse (Central Bus Station Pierre Sémard),FlixBus/EU,08:55,6.0,Low,,,
Hanover,DE,Hanover central bus station,Aalborg (Busterminal),DK,Aalborg (Busterminal),FlixBus/EU,09:10,5.0,Very Low,,,
Barcelona ( Nord),ES,Barcelona (Bus Terminal Nord),Toulouse (Blagnac Airport),ES,Toulouse (Blagnac Airport),FlixBus/EU,06:40,3.0,Very Low,,,
Hanover,DE,Hanover central bus station,Aarhus C FlixBus stop,DK,Aarhus C FlixBus stop,FlixBus/EU,08:55,6.0,Low,,,
Toulouse (Blagnac Airport),ES,Toulouse (Blagnac Airport),Barcelona ( Nord),ES,Barcelona (Bus Terminal Nord),FlixBus/EU,06:05,3.0,Very Low,,,
Aalborg (Busterminal),DK,Aalborg (Busterminal),Hanover,DE,Hanover central bus station,FlixBus/EU,09:10,5.0,Very Low,,,
Aarhus C FlixBus stop,DK,Aarhus C FlixBus stop,Hanover,DE,Hanover central bus station,FlixBus/EU,09:00,7.0,Low,,,
Annecy (Central ),FR,Annecy (Central Bus Station),Geneva (central ),FR,Geneva (central bus station),FlixBus/EU,01:00,16.0,Average,,,
Geneva (central ),FR,Geneva (central bus station),Milan (Lampugnano ),FR,Milan (Lampugnano bus station),FlixBus/EU,07:10,10.0,Low,,,
Milan (Lampugnano ),FR,Milan (Lampugnano bus station),Geneva (central ),FR,Geneva (central bus station),FlixBus/EU,07:20,10.0,Low,,,
Geneva (central ),FR,Geneva (central bus station),Annecy (Central ),FR,Annecy (Central Bus Station),FlixBus/EU,00:50,6.0,Low,,,
Marseille (Saint-Charles),FR,Marseille (Saint-Charles),Barcelona ( Nord),ES,Barcelona (Bus Terminal Nord),FlixBus/EU,07:30,6.0,Low,,,
Barcelona ( Nord),ES,Barcelona (Bus Terminal Nord),Marseille (Saint-Charles),FR,Marseille (Saint-Charles),FlixBus/EU,07:25,6.0,Low,,,
Milan (Lampugnano ),FR,Milan (Lampugnano bus station),Paris (Pershing - Porte Maillot),FR,Paris (Pershing - Porte Maillot),FlixBus/EU,12:35,17.0,Average,,,
Milan (Lampugnano ),FR,Milan (Lampugnano bus station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,12:40,60.0,Very High,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Milan (Lampugnano ),FR,Milan (Lampugnano bus station),FlixBus/EU,12:25,56.0,Very High,,,
Paris (Pershing - Porte Maillot),FR,Paris (Pershing - Porte Maillot),Milan (Lampugnano ),FR,Milan (Lampugnano bus station),FlixBus/EU,12:25,17.0,Average,,,
Dijon (),FR,Dijon (Bus Station),Marseille (Saint-Charles),FR,Marseille (Saint-Charles),FlixBus/EU,07:50,6.0,Low,,,
Marseille (Saint-Charles),FR,Marseille (Saint-Charles),Dijon (),FR,Dijon (Bus Station),FlixBus/EU,07:45,6.0,Low,,,
Oldenburg,DE,Oldenburg central bus station,Gothenburg (Nils Ericson Terminalen),SE,Gothenburg (Nils Ericson Terminalen),FlixBus/EU,14:10,11.0,Low,,,
Gothenburg (Nils Ericson Terminalen),SE,Gothenburg (Nils Ericson Terminalen),Oldenburg,DE,Oldenburg central bus station,FlixBus/EU,13:05,6.0,Low,,,
Le Havre (),FR,Le Havre (Bus Station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,03:10,58.0,Very High,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Le Havre (),FR,Le Havre (Bus Station),FlixBus/EU,03:10,95.0,Very High,,,
Le Havre (),FR,Le Havre (Bus Station),Paris - Orly Airport,FR,Paris - Orly Airport,FlixBus/EU,03:05,63.0,Very High,,,
Le Havre (),FR,Le Havre (Bus Station),Paris (Pont de Sèvres),FR,Paris (Pont de Sèvres),FlixBus/EU,02:20,10.0,Low,,,
Paris - Orly Airport,FR,Paris - Orly Airport,Le Havre (),FR,Le Havre (Bus Station),FlixBus/EU,03:05,36.0,Very High,,,
Le Havre (),FR,Le Havre (Bus Station),Paris La Défense ( Jules Verne),FR,Paris La Défense (Terminal Jules Verne),FlixBus/EU,02:20,42.0,Very High,,,
Paris La Défense ( Jules Verne),FR,Paris La Défense (Terminal Jules Verne),Le Havre (),FR,Le Havre (Bus Station),FlixBus/EU,02:15,29.0,High,,,
Bordeaux (Saint-Jean - Paludate),FR,Bordeaux (Saint-Jean - Paludate),Paris Charles de Gaulle Airport (Central ),FR,Paris Charles de Gaulle Airport (Central Bus Station),FlixBus/EU,09:20,6.0,Low,,,
Paris Charles de Gaulle Airport (Central ),FR,Paris Charles de Gaulle Airport (Central Bus Station),Bordeaux (Saint-Jean - Paludate),FR,Bordeaux (Saint-Jean - Paludate),FlixBus/EU,09:00,6.0,Low,,,
Bruges (Station Brugge),FR,Bruges (Station Brugge),Paris (Pershing - Porte Maillot),FR,Paris (Pershing - Porte Maillot),FlixBus/EU,04:20,12.0,Low,,,
Bruges (Station Brugge),FR,Bruges (Station Brugge),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,04:25,26.0,High,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Bruges (Station Brugge),FR,Bruges (Station Brugge),FlixBus/EU,04:25,26.0,High,,,
Paris (Pershing - Porte Maillot),FR,Paris (Pershing - Porte Maillot),Bruges (Station Brugge),FR,Bruges (Station Brugge),FlixBus/EU,04:20,12.0,Low,,,
Dieppe (Central ),FR,Dieppe (Central bus station),Paris Charles de Gaulle Airport (Central ),FR,Paris Charles de Gaulle Airport (Central Bus Station),FlixBus/EU,03:35,23.0,Average,,,
Paris Charles de Gaulle Airport (Central ),FR,Paris Charles de Gaulle Airport (Central Bus Station),Dieppe (Central ),FR,Dieppe (Central bus station),FlixBus/EU,03:55,27.0,High,,,
Dieppe (Central ),FR,Dieppe (Central bus station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,03:35,15.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Dieppe (Central ),FR,Dieppe (Central bus station),FlixBus/EU,03:40,15.0,Low,,,
Dieppe (Central ),FR,Dieppe (Central bus station),Paris - Orly Airport,FR,Paris - Orly Airport,FlixBus/EU,03:20,26.0,High,,,
Paris - Orly Airport,FR,Paris - Orly Airport,Dieppe (Central ),FR,Dieppe (Central bus station),FlixBus/EU,03:45,18.0,Average,,,
Tourcoing,FR,Tourcoing,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,03:40,25.0,Average,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Tourcoing,FR,Tourcoing,FlixBus/EU,03:40,22.0,Average,,,
Lille,FR,Lille,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,03:15,41.0,Very High,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Lille,FR,Lille,FlixBus/EU,03:10,38.0,Very High,,,
Dunkerque,FR,Dunkerque,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,04:15,10.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Dunkerque,FR,Dunkerque,FlixBus/EU,04:15,10.0,Low,,,
Caen (central ),FR,Caen (central bus station),Brussels South (Gare du Midi),FR,Brussels South (Gare du Midi),FlixBus/EU,09:10,15.0,Low,,,
Brussels South (Gare du Midi),FR,Brussels South (Gare du Midi),Caen (central ),FR,Caen (central bus station),FlixBus/EU,09:15,16.0,Average,,,
Lille,FR,Lille,Paris - Orly Airport,FR,Paris - Orly Airport,FlixBus/EU,03:25,62.0,Very High,,,
Paris - Orly Airport,FR,Paris - Orly Airport,Lille,FR,Lille,FlixBus/EU,03:30,66.0,Very High,,,
Reims - Champagne Ardenne TGV,FR,Reims - Champagne Ardenne TGV,Paris Charles de Gaulle Airport (Central ),FR,Paris Charles de Gaulle Airport (Central Bus Station),FlixBus/EU,02:45,21.0,Average,,,
Paris Charles de Gaulle Airport (Central ),FR,Paris Charles de Gaulle Airport (Central Bus Station),Reims - Champagne Ardenne TGV,FR,Reims - Champagne Ardenne TGV,FlixBus/EU,03:15,22.0,Average,,,
Paris La Défense ( Jules Verne),FR,Paris La Défense (Terminal Jules Verne),Lille,FR,Lille,FlixBus/EU,03:30,5.0,Very Low,,,
Paris (Pershing - Porte Maillot),FR,Paris (Pershing - Porte Maillot),Lille,FR,Lille,FlixBus/EU,03:15,14.0,Low,,,
Lille,FR,Lille,Paris (Pershing - Porte Maillot),FR,Paris (Pershing - Porte Maillot),FlixBus/EU,03:15,14.0,Low,,,
Lille,FR,Lille,Paris La Défense ( Jules Verne),FR,Paris La Défense (Terminal Jules Verne),FlixBus/EU,03:25,5.0,Very Low,,,
Paris (Pont de Levallois),FR,Paris (Pont de Levallois),Lille,FR,Lille,FlixBus/EU,03:25,6.0,Low,,,
Lille,FR,Lille,Paris (Pont de Levallois),FR,Paris (Pont de Levallois),FlixBus/EU,03:20,4.0,Very Low,,,
Reims - Champagne Ardenne TGV,FR,Reims - Champagne Ardenne TGV,Paris - Orly Airport,FR,Paris - Orly Airport,FlixBus/EU,03:00,20.0,Average,,,
Paris - Orly Airport,FR,Paris - Orly Airport,Reims - Champagne Ardenne TGV,FR,Reims - Champagne Ardenne TGV,FlixBus/EU,02:40,20.0,Average,,,
Strasbourg,FR,Strasbourg,Rouen (Avenue Champlain),FR,Rouen (Avenue Champlain),FlixBus/EU,09:15,9.0,Low,,,
Rouen (Avenue Champlain),FR,Rouen (Avenue Champlain),Strasbourg,FR,Strasbourg,FlixBus/EU,09:10,9.0,Low,,,
Paris (Pont de Sèvres),FR,Paris (Pont de Sèvres),Le Havre (),FR,Le Havre (Bus Station),FlixBus/EU,02:15,6.0,Low,,,
Grenoble (Central ),FR,Grenoble (Central Bus Station),Lyon (Gerland ),FR,Lyon (Gerland Bus Station),FlixBus/EU,01:25,5.0,Very Low,,,
Grenoble (Central ),FR,Grenoble (Central Bus Station),Lyon (Perrache ),FR,Lyon (Perrache Bus Station),FlixBus/EU,01:25,34.0,High,,,
Lyon (Perrache ),FR,Lyon (Perrache Bus Station),Grenoble (Central ),FR,Grenoble (Central Bus Station),FlixBus/EU,01:25,34.0,High,,,
Lyon (Gerland ),FR,Lyon (Gerland Bus Station),Grenoble (Central ),FR,Grenoble (Central Bus Station),FlixBus/EU,01:25,5.0,Very Low,,,
Lyon (Perrache ),FR,Lyon (Perrache Bus Station),Annecy (Central ),FR,Annecy (Central Bus Station),FlixBus/EU,01:50,18.0,Average,,,
Lyon (Gerland ),FR,Lyon (Gerland Bus Station),Annecy (Central ),FR,Annecy (Central Bus Station),FlixBus/EU,01:50,5.0,Very Low,,,
Annecy (Central ),FR,Annecy (Central Bus Station),Lyon (Gerland ),FR,Lyon (Gerland Bus Station),FlixBus/EU,01:50,5.0,Very Low,,,
Annecy (Central ),FR,Annecy (Central Bus Station),Lyon (Perrache ),FR,Lyon (Perrache Bus Station),FlixBus/EU,01:50,18.0,Average,,,
Toulon (Central ),FR,Toulon (Central Bus Station),Toulouse (Central Pierre Sémard),ES,Toulouse (Central Bus Station Pierre Sémard),FlixBus/EU,08:30,12.0,Low,,,
Toulouse (Central Pierre Sémard),ES,Toulouse (Central Bus Station Pierre Sémard),Toulon (Central ),FR,Toulon (Central Bus Station),FlixBus/EU,08:35,12.0,Low,,,
Marseille (Saint-Charles),FR,Marseille (Saint-Charles),Lyon (Gerland ),FR,Lyon (Gerland Bus Station),FlixBus/EU,04:20,1.0,Very Low,,,
Lyon (Gerland ),FR,Lyon (Gerland Bus Station),Marseille (Saint-Charles),FR,Marseille (Saint-Charles),FlixBus/EU,04:10,1.0,Very Low,,,
Brussels Zaventem Airport,FR,Brussels Zaventem Airport,Lille,FR,Lille,FlixBus/EU,02:25,40.0,Very High,,,
Lille,FR,Lille,Brussels Zaventem Airport,FR,Brussels Zaventem Airport,FlixBus/EU,02:05,40.0,Very High,,,
Vannes (Central ),FR,Vannes (Central bus station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,06:40,25.0,Average,,,
Paris Charles de Gaulle Airport (Central ),FR,Paris Charles de Gaulle Airport (Central Bus Station),Vannes (Central ),FR,Vannes (Central bus station),FlixBus/EU,08:00,5.0,Very Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Vannes (Central ),FR,Vannes (Central bus station),FlixBus/EU,06:40,26.0,High,,,
Vannes (Central ),FR,Vannes (Central bus station),Paris Charles de Gaulle Airport (Central ),FR,Paris Charles de Gaulle Airport (Central Bus Station),FlixBus/EU,08:05,4.0,Very Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Caen (central ),FR,Caen (central bus station),FlixBus/EU,03:35,35.0,High,,,
Caen (central ),FR,Caen (central bus station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,03:35,35.0,High,,,
Rennes (Central ),FR,Rennes (Central bus station),Montpellier (Sabines),FR,Montpellier (Sabines),FlixBus/EU,12:15,12.0,Low,,,
Montpellier (Sabines),FR,Montpellier (Sabines),Rennes (Central ),FR,Rennes (Central bus station),FlixBus/EU,12:20,12.0,Low,,,
Chamonix,FR,Chamonix,Lyon (Gerland ),FR,Lyon (Gerland Bus Station),FlixBus/EU,03:10,5.0,Very Low,,,
Chamonix,FR,Chamonix,Lyon (Perrache ),FR,Lyon (Perrache Bus Station),FlixBus/EU,03:15,18.0,Average,,,
Lyon (Gerland ),FR,Lyon (Gerland Bus Station),Chamonix,FR,Chamonix,FlixBus/EU,03:30,5.0,Very Low,,,
Lyon (Perrache ),FR,Lyon (Perrache Bus Station),Chamonix,FR,Chamonix,FlixBus/EU,03:30,18.0,Average,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Quimper (Central ),FR,Quimper (Central Bus Station),FlixBus/EU,08:00,10.0,Low,,,
Quimper (Central ),FR,Quimper (Central Bus Station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,07:55,10.0,Low,,,
Vigo (),ES,Vigo (Bus Station),Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),FlixBus/EU,02:20,34.0,High,,,
Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),Vigo (),ES,Vigo (Bus Station),FlixBus/EU,02:20,30.0,High,,,
Montpellier (Sabines),FR,Montpellier (Sabines),Geneva (central ),FR,Geneva (central bus station),FlixBus/EU,08:25,6.0,Low,,,
Geneva (central ),FR,Geneva (central bus station),Montpellier (Sabines),FR,Montpellier (Sabines),FlixBus/EU,08:25,6.0,Low,,,
Metz (central ),FR,Metz (central bus station),Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,04:30,5.0,Very Low,,,
Metz (central ),FR,Metz (central bus station),Troyes (),FR,Troyes (Bus Station),FlixBus/EU,07:35,6.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Troyes (),FR,Troyes (Bus Station),FlixBus/EU,02:25,5.0,Very Low,,,
Troyes (),FR,Troyes (Bus Station),Metz (central ),FR,Metz (central bus station),FlixBus/EU,07:20,10.0,Low,,,
