origin_city,origin_country,origin_station,destination_city,destination_country,destination_station,operator_name,duration,trip_count,frequency_bucket,transport_type,frequency_daily,frequency_label
Berlin,DE,Berlin central bus station,Munich,DE,Munich central bus station,FlixBus/EU,07:45,15.0,Low,,,
Nuremberg central (Willy-Brandt-Platz),DE,Nuremberg central bus station (Willy-Brandt-Platz),Berlin,DE,Berlin central bus station,FlixBus/EU,05:50,6.0,Low,,,
Strasbourg,FR,Strasbourg,Budapest Népliget,HU,Budapest Népliget bus station,FlixBus/EU,14:50,10.0,Low,,,
Budapest Népliget,HU,Budapest Népliget bus station,Strasbourg,FR,Strasbourg,FlixBus/EU,14:45,10.0,Low,,,
Bratislava ( Mlynské Nivy),HU,Bratislava (bus station Mlynské Nivy),Saarbrücken (Dudweilerstraße),FR,Saarbrücken bus station (Dudweilerstraße),FlixBus/EU,14:35,11.0,Low,,,
Saarbrücken (Dudweilerstraße),FR,Saarbrücken bus station (Dudweilerstraße),Bratislava ( Mlynské Nivy),HU,Bratislava (bus station Mlynské Nivy),FlixBus/EU,14:10,11.0,Low,,,
Zwickau central train,DE,Zwickau central train station,Berlin Südkreuz train,DE,Berlin Südkreuz train station,FlixBus/EU,04:05,11.0,Low,,,
Berlin Südkreuz train,DE,Berlin Südkreuz train station,Zwickau central train,DE,Zwickau central train station,FlixBus/EU,04:00,11.0,Low,,,
Innsbruck Südbahnstraße,DE,Innsbruck Südbahnstraße,Munich International Airport,DE,Munich International Airport,FlixBus/EU,03:15,42.0,Very High,,,
Innsbruck Südbahnstraße,DE,Innsbruck Südbahnstraße,Munich,DE,Munich central bus station,FlixBus/EU,02:35,7.0,Low,,,
Munich,DE,Munich central bus station,Innsbruck Südbahnstraße,DE,Innsbruck Südbahnstraße,FlixBus/EU,02:35,6.0,Low,,,
Munich International Airport,DE,Munich International Airport,Innsbruck Südbahnstraße,DE,Innsbruck Südbahnstraße,FlixBus/EU,03:25,55.0,Very High,,,
Berlin,DE,Berlin central bus station,Lübeck,DE,Lübeck,FlixBus/EU,04:00,10.0,Low,,,
Lübeck,DE,Lübeck,Berlin,DE,Berlin central bus station,FlixBus/EU,04:00,10.0,Low,,,
Hamburg,DE,Hamburg central bus station,Berlin,DE,Berlin central bus station,FlixBus/EU,03:15,123.0,Very High,,,
Berlin,DE,Berlin central bus station,Hamburg,DE,Hamburg central bus station,FlixBus/EU,03:15,122.0,Very High,,,
Berlin,DE,Berlin central bus station,Flensburg central train,DE,Flensburg central train station,FlixBus/EU,06:30,14.0,Low,,,
Flensburg central train,DE,Flensburg central train station,Berlin,DE,Berlin central bus station,FlixBus/EU,06:50,16.0,Average,,,
Berlin,DE,Berlin central bus station,Kiel,DE,Kiel central bus station,FlixBus/EU,05:00,22.0,Average,,,
Kiel,DE,Kiel central bus station,Berlin,DE,Berlin central bus station,FlixBus/EU,05:00,22.0,Average,,,
Gera central train,DE,Gera central train station,Hamburg,DE,Hamburg central bus station,FlixBus/EU,07:45,10.0,Low,,,
Hamburg,DE,Hamburg central bus station,Gera central train,DE,Gera central train station,FlixBus/EU,07:30,15.0,Low,,,
Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,Winterberg train,FR,Winterberg train station,FlixBus/EU,06:40,6.0,Low,,,
Winterberg train,FR,Winterberg train station,Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,FlixBus/EU,06:25,5.0,Very Low,,,
Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,Dortmund,DE,Dortmund central bus station,FlixBus/EU,03:40,38.0,Very High,,,
Dortmund,DE,Dortmund central bus station,Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,FlixBus/EU,04:30,37.0,Very High,,,
Berlin Südkreuz train,DE,Berlin Südkreuz train station,Berlin,DE,Berlin central bus station,FlixBus/EU,00:10,5.0,Very Low,,,
Szczecin,DE,"Szczecin, Bus Station","Berlin Airport BER (Berlin Brandenburg), 1/2",DE,"Berlin Airport BER (Berlin Brandenburg), Terminal 1/2",FlixBus/EU,02:45,30.0,High,,,
Berlin,DE,Berlin central bus station,Szczecin,DE,"Szczecin, Bus Station",FlixBus/EU,03:15,50.0,Very High,,,
"Berlin Airport BER (Berlin Brandenburg), 1/2",DE,"Berlin Airport BER (Berlin Brandenburg), Terminal 1/2",Szczecin,DE,"Szczecin, Bus Station",FlixBus/EU,02:16,35.0,High,,,
Szczecin,DE,"Szczecin, Bus Station",Berlin,DE,Berlin central bus station,FlixBus/EU,03:05,55.0,Very High,,,
Berlin,DE,Berlin central bus station,Berlin Südkreuz train,DE,Berlin Südkreuz train station,FlixBus/EU,00:15,2.0,Very Low,,,
Vienna Erdberg (Busterminal VIB),AT,Vienna Erdberg (Busterminal VIB),Berlin,DE,Berlin central bus station,FlixBus/EU,09:30,47.0,Very High,,,
Berlin Alexanderplatz,DE,Berlin Alexanderplatz,Vienna Erdberg (Busterminal VIB),AT,Vienna Erdberg (Busterminal VIB),FlixBus/EU,09:35,10.0,Low,,,
Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),Vienna Erdberg (Busterminal VIB),AT,Vienna Erdberg (Busterminal VIB),FlixBus/EU,04:20,20.0,Average,,,
Vienna Erdberg (Busterminal VIB),AT,Vienna Erdberg (Busterminal VIB),Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),FlixBus/EU,04:05,20.0,Average,,,
Zagreb (),IT,Zagreb (bus station),Berlin,DE,Berlin central bus station,FlixBus/EU,15:20,20.0,Average,,,
Vienna Erdberg (Busterminal VIB),AT,Vienna Erdberg (Busterminal VIB),Bremen Fernbusterminal,DE,Bremen Fernbusterminal,FlixBus/EU,15:00,19.0,Average,,,
Berlin,DE,Berlin central bus station,Vienna Erdberg (Busterminal VIB),AT,Vienna Erdberg (Busterminal VIB),FlixBus/EU,09:00,37.0,Very High,,,
Bremen Fernbusterminal,DE,Bremen Fernbusterminal,Vienna Erdberg (Busterminal VIB),AT,Vienna Erdberg (Busterminal VIB),FlixBus/EU,14:19,10.0,Low,,,
Berlin,DE,Berlin central bus station,Zagreb (),IT,Zagreb (bus station),FlixBus/EU,14:40,20.0,Average,,,
Leipzig central train,DE,Leipzig central train station,Berlin Alexanderplatz,DE,Berlin Alexanderplatz,FlixBus/EU,02:50,42.0,Very High,,,
Berlin Alexanderplatz,DE,Berlin Alexanderplatz,Leipzig central train,DE,Leipzig central train station,FlixBus/EU,02:45,43.0,Very High,,,
Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),Frankfurt central train,FR,Frankfurt central train station,FlixBus/EU,09:00,6.0,Low,,,
Bayreuth central train,DE,Bayreuth central train station,Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,FlixBus/EU,11:45,6.0,Low,,,
Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,Bayreuth central train,DE,Bayreuth central train station,FlixBus/EU,11:50,6.0,Low,,,
Frankfurt central train,FR,Frankfurt central train station,Prague (Central Florenc),DE,Prague (Central Bus Station Florenc),FlixBus/EU,08:55,6.0,Low,,,
Frankfurt central train,FR,Frankfurt central train station,Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,FlixBus/EU,07:10,6.0,Low,,,
Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,Frankfurt central train,FR,Frankfurt central train station,FlixBus/EU,06:45,6.0,Low,,,
Bayreuth central train,DE,Bayreuth central train station,Duisburg central train,DE,Duisburg central train station,FlixBus/EU,08:50,6.0,Low,,,
Duisburg central train,DE,Duisburg central train station,Bayreuth central train,DE,Bayreuth central train station,FlixBus/EU,09:00,6.0,Low,,,
Berlin Alexanderplatz,DE,Berlin Alexanderplatz,Dresden central station (Bayrische Straße),DE,Dresden central station (Bayrische Straße),FlixBus/EU,02:55,71.0,Very High,,,
Dresden central station (Bayrische Straße),DE,Dresden central station (Bayrische Straße),Berlin Alexanderplatz,DE,Berlin Alexanderplatz,FlixBus/EU,02:50,89.0,Very High,,,
Berlin Alexanderplatz,DE,Berlin Alexanderplatz,Hamburg,DE,Hamburg central bus station,FlixBus/EU,03:30,18.0,Average,,,
Hamburg,DE,Hamburg central bus station,Dresden central station (Bayrische Straße),DE,Dresden central station (Bayrische Straße),FlixBus/EU,06:35,29.0,High,,,
Dresden central station (Bayrische Straße),DE,Dresden central station (Bayrische Straße),Hamburg,DE,Hamburg central bus station,FlixBus/EU,06:30,26.0,High,,,
Hamburg,DE,Hamburg central bus station,Berlin Alexanderplatz,DE,Berlin Alexanderplatz,FlixBus/EU,03:30,10.0,Low,,,
Hamburg,DE,Hamburg central bus station,Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,FlixBus/EU,07:20,15.0,Low,,,
Berlin,DE,Berlin central bus station,Rotterdam Central,NL,Rotterdam Central Station,FlixBus/EU,12:05,6.0,Low,,,
Rotterdam Central,NL,Rotterdam Central Station,Berlin,DE,Berlin central bus station,FlixBus/EU,12:05,6.0,Low,,,
Amsterdam Sloterdijk,NL,Amsterdam Sloterdijk,Hamburg,DE,Hamburg central bus station,FlixBus/EU,07:15,15.0,Low,,,
Munich,DE,Munich central bus station,Milan (Lampugnano ),FR,Milan (Lampugnano bus station),FlixBus/EU,07:45,39.0,Very High,,,
Milan (Lampugnano ),FR,Milan (Lampugnano bus station),Munich,DE,Munich central bus station,FlixBus/EU,08:20,29.0,High,,,
Brussels-North train,FR,Brussels-North train station,Hanover,DE,Hanover central bus station,FlixBus/EU,07:30,11.0,Low,,,
Brussels-North train,FR,Brussels-North train station,Berlin,DE,Berlin central bus station,FlixBus/EU,12:10,22.0,Average,,,
